city,venue,dates,gender,match_type,result,team1,team2,outcome.winner,outcome.runs,outcome.wickets,outcome.method,toss.winner,toss.decision,player_of_match,
209,Antigua,"Sir Vivian Richards Stadium, North Sound",3/27/2007,male,ODI,,West Indies,Australia,Australia,103,0,,West Indies,field,ML Hayden
210,Guyana,Providence Stadium,3/28/2007,male,ODI,,South Africa,Sri Lanka,South Africa,0,1,,Sri Lanka,bat,CK Langeveldt
211,Antigua,"Sir Vivian Richards Stadium, North Sound",3/29/2007,male,ODI,,West Indies,New Zealand,New Zealand,0,7,,New Zealand,field,JDP Oram
212,Guyana,Providence Stadium,3/30/2007,male,ODI,,England,Ireland,England,48,0,,England,bat,PD Collingwood
213,Antigua,"Sir Vivian Richards Stadium, North Sound",3/31/2007,male,ODI,,Australia,Bangladesh,Australia,0,10,,Australia,field,GD McGrath
214,Guyana,Providence Stadium,4/1/2007,male,ODI,,West Indies,Sri Lanka,Sri Lanka,113,0,,West Indies,field,ST Jayasuriya
215,Antigua,"Sir Vivian Richards Stadium, North Sound",4/2/2007,male,ODI,,Bangladesh,New Zealand,New Zealand,0,9,,New Zealand,field,SE Bond
216,Guyana,Providence Stadium,4/3/2007,male,ODI,,Ireland,South Africa,South Africa,0,7,,South Africa,field,JH Kallis
217,Antigua,"Sir Vivian Richards Stadium, North Sound",4/4/2007,male,ODI,,England,Sri Lanka,Sri Lanka,2,0,,England,field,RS Bopara
218,Guyana,Providence Stadium,4/7/2007,male,ODI,,Bangladesh,South Africa,Bangladesh,67,0,,South Africa,field,Mohammad Ashraful
219,Antigua,"Sir Vivian Richards Stadium, North Sound",4/8/2007,male,ODI,,Australia,England,Australia,0,7,,England,bat,SW Tait
220,Guyana,Providence Stadium,4/9/2007,male,ODI,,Ireland,New Zealand,New Zealand,129,0,,New Zealand,bat,PG Fulton
221,Grenada,"National Cricket Stadium, St George's",4/10/2007,male,ODI,,West Indies,South Africa,South Africa,67,0,,West Indies,field,AB de Villiers
222,Barbados,"Kensington Oval, Bridgetown",4/11/2007,male,ODI,,Bangladesh,England,England,0,4,,England,field,SI Mahmood
223,Grenada,"National Cricket Stadium, St George's",4/12/2007,male,ODI,,New Zealand,Sri Lanka,Sri Lanka,0,6,,New Zealand,bat,WPUJC Vaas
224,Barbados,"Kensington Oval, Bridgetown",4/13/2007,male,ODI,,Australia,Ireland,Australia,0,9,,Australia,field,GD McGrath
225,Grenada,"National Cricket Stadium, St George's",4/14/2007,male,ODI,,New Zealand,South Africa,New Zealand,0,5,,New Zealand,field,CD McMillan
226,Barbados,"Kensington Oval, Bridgetown",4/15/2007,male,ODI,,Bangladesh,Ireland,Ireland,74,0,,Ireland,bat,WTS Porterfield
227,Grenada,"National Cricket Stadium, St George's",4/16/2007,male,ODI,,Australia,Sri Lanka,Australia,0,7,,Sri Lanka,bat,NW Bracken
228,Barbados,"Kensington Oval, Bridgetown",4/17/2007,male,ODI,,England,South Africa,South Africa,0,9,,England,bat,AJ Hall
229,Grenada,"National Cricket Stadium, St George's",4/18/2007,male,ODI,,Ireland,Sri Lanka,Sri Lanka,0,8,,Sri Lanka,field,MF Maharoof
230,Barbados,"Kensington Oval, Bridgetown",4/19/2007,male,ODI,,West Indies,Bangladesh,West Indies,99,0,,Bangladesh,field,RR Sarwan
231,Grenada,"National Cricket Stadium, St George's",4/20/2007,male,ODI,,Australia,New Zealand,Australia,215,0,,Australia,bat,ML Hayden
232,Barbados,"Kensington Oval, Bridgetown",4/21/2007,male,ODI,,West Indies,England,England,0,1,,England,field,KP Pietersen
233,Jamaica,"Sabina Park, Kingston",4/24/2007,male,ODI,,New Zealand,Sri Lanka,Sri Lanka,81,0,,Sri Lanka,bat,DPMD Jayawardene
234,St Lucia,"Beausejour Stadium, Gros Islet",4/25/2007,male,ODI,,Australia,South Africa,Australia,0,7,,South Africa,bat,GD McGrath
235,Barbados,"Kensington Oval, Bridgetown",4/28/2007,male,ODI,,Australia,Sri Lanka,Australia,53,0,,Australia,bat,AC Gilchrist
236,,Harare Sports Club,8/6/2006,male,ODI,,Zimbabwe,Bangladesh,Bangladesh,0,8,,Zimbabwe,bat,Shahriar Nafees
237,Durban,Kingsmead,11/22/2006,male,ODI,,South Africa,India,South Africa,157,0,,South Africa,bat,JH Kallis
238,Cape Town,Newlands,11/26/2006,male,ODI,,South Africa,India,South Africa,106,0,,South Africa,bat,JM Kemp
239,Port Elizabeth,St George's Park,11/29/2006,male,ODI,,South Africa,India,South Africa,80,0,,South Africa,bat,HH Gibbs
240,Centurion,SuperSport Park,12/3/2006,male,ODI,,South Africa,India,South Africa,0,9,,South Africa,field,SM Pollock
241,Hobart,Bellerive Oval,1/14/2007,male,ODI,,Australia,New Zealand,Australia,105,0,,Australia,bat,A Symonds
242,,Sydney Cricket Ground,1/21/2007,male,ODI,,Australia,New Zealand,Australia,0,2,,New Zealand,bat,MJ Clarke
243,Perth,Western Australia Cricket Association Ground,1/28/2007,male,ODI,,Australia,New Zealand,Australia,8,0,,Australia,bat,RT Ponting
244,,Melbourne Cricket Ground,2/4/2007,male,ODI,,Australia,New Zealand,Australia,0,5,,New Zealand,bat,RT Ponting
245,,Melbourne Cricket Ground,1/12/2007,male,ODI,,Australia,England,Australia,0,8,,England,bat,AC Gilchrist
246,Brisbane,"Brisbane Cricket Ground, Woolloongabba",1/19/2007,male,ODI,,Australia,England,Australia,0,4,,England,bat,MEK Hussey
247,,Adelaide Oval,1/26/2007,male,ODI,,Australia,England,Australia,0,9,,England,bat,MG Johnson
248,,Sydney Cricket Ground,2/2/2007,male,ODI,,Australia,England,England,92,0,,England,bat,EC Joyce
249,Hobart,Bellerive Oval,1/16/2007,male,ODI,,England,New Zealand,England,0,3,,New Zealand,bat,A Flintoff
250,,Adelaide Oval,1/23/2007,male,ODI,,England,New Zealand,New Zealand,90,0,,New Zealand,bat,JDP Oram
251,Perth,Western Australia Cricket Association Ground,1/30/2007,male,ODI,,England,New Zealand,New Zealand,58,0,,New Zealand,bat,L Vincent
252,Brisbane,"Brisbane Cricket Ground, Woolloongabba",2/6/2007,male,ODI,,England,New Zealand,England,14,0,,England,bat,PD Collingwood
253,,Melbourne Cricket Ground,2/9/2007,male,ODI,,Australia,England,England,0,4,,Australia,bat,PD Collingwood
254,,Sydney Cricket Ground,2/11/2007,male,ODI,,Australia,England,England,34,0,,England,bat,
255,Nairobi,Gymkhana Club Ground,8/12/2006,male,ODI,,Kenya,Bangladesh,Bangladesh,0,6,,Bangladesh,field,Mashrafe Mortaza
256,Nairobi,Gymkhana Club Ground,8/13/2006,male,ODI,,Kenya,Bangladesh,Bangladesh,0,2,,Kenya,bat,Mashrafe Mortaza
257,Nairobi,Gymkhana Club Ground,8/15/2006,male,ODI,,Kenya,Bangladesh,Bangladesh,0,6,,Bangladesh,field,Mashrafe Mortaza
258,Chandigarh,"Punjab Cricket Association Stadium, Mohali",10/7/2006,male,ODI,,Bangladesh,Sri Lanka,Sri Lanka,37,0,,Bangladesh,field,WU Tharanga
259,Ahmedabad,"Sardar Patel Stadium, Motera",10/8/2006,male,ODI,,West Indies,Zimbabwe,West Indies,0,9,,Zimbabwe,bat,CH Gayle
260,Ahmedabad,"Sardar Patel Stadium, Motera",10/10/2006,male,ODI,,Sri Lanka,Zimbabwe,Sri Lanka,144,0,,Sri Lanka,bat,WU Tharanga
261,Jaipur,Sawai Mansingh Stadium,10/11/2006,male,ODI,,Bangladesh,West Indies,West Indies,0,10,,Bangladesh,bat,CH Gayle
262,Jaipur,Sawai Mansingh Stadium,10/13/2006,male,ODI,,Bangladesh,Zimbabwe,Bangladesh,101,0,,Zimbabwe,field,Shahriar Nafees
263,Mumbai,Brabourne Stadium,10/14/2006,male,ODI,,Sri Lanka,West Indies,Sri Lanka,0,9,,West Indies,bat,MF Maharoof
264,Jaipur,Sawai Mansingh Stadium,10/15/2006,male,ODI,,India,England,India,0,4,,India,field,MM Patel
265,Mumbai,Brabourne Stadium,10/16/2006,male,ODI,,New Zealand,South Africa,New Zealand,87,0,,South Africa,field,SP Fleming
266,Jaipur,Sawai Mansingh Stadium,10/17/2006,male,ODI,,Pakistan,Sri Lanka,Pakistan,0,4,,Sri Lanka,bat,Abdul Razzaq
267,Mumbai,Brabourne Stadium,10/18/2006,male,ODI,,Australia,West Indies,West Indies,10,0,,West Indies,bat,RS Morton
268,Mumbai,Brabourne Stadium,10/20/2006,male,ODI,,New Zealand,Sri Lanka,Sri Lanka,0,7,,New Zealand,bat,M Muralitharan
269,Jaipur,Sawai Mansingh Stadium,10/21/2006,male,ODI,,Australia,England,Australia,0,6,,Australia,field,DR Martyn
270,Ahmedabad,"Sardar Patel Stadium, Motera",10/24/2006,male,ODI,,South Africa,Sri Lanka,South Africa,78,0,,Sri Lanka,field,SM Pollock
271,Chandigarh,"Punjab Cricket Association Stadium, Mohali",10/25/2006,male,ODI,,New Zealand,Pakistan,New Zealand,51,0,,Pakistan,field,SP Fleming
272,Ahmedabad,"Sardar Patel Stadium, Motera",10/26/2006,male,ODI,,India,West Indies,West Indies,0,3,,West Indies,field,S Chanderpaul
273,Chandigarh,"Punjab Cricket Association Stadium, Mohali",10/27/2006,male,ODI,,Pakistan,South Africa,South Africa,124,0,,South Africa,bat,M Ntini
274,Ahmedabad,"Sardar Patel Stadium, Motera",10/28/2006,male,ODI,,England,West Indies,England,0,3,,West Indies,bat,CH Gayle
275,Chandigarh,"Punjab Cricket Association Stadium, Mohali",10/29/2006,male,ODI,,India,Australia,Australia,0,6,,India,bat,DR Martyn
276,Chandigarh,"Punjab Cricket Association Stadium, Mohali",11/1/2006,male,ODI,,Australia,New Zealand,Australia,34,0,,New Zealand,field,GD McGrath
277,Jaipur,Sawai Mansingh Stadium,11/2/2006,male,ODI,,South Africa,West Indies,West Indies,0,6,,South Africa,bat,CH Gayle
278,Mumbai,Brabourne Stadium,11/5/2006,male,ODI,,Australia,West Indies,Australia,0,8,,West Indies,bat,SR Watson
279,Centurion,SuperSport Park,2/4/2007,male,ODI,,South Africa,Pakistan,South Africa,164,0,,Pakistan,field,JH Kallis
280,Durban,Kingsmead,2/7/2007,male,ODI,,South Africa,Pakistan,Pakistan,141,0,,Pakistan,bat,Younis Khan
281,Port Elizabeth,St George's Park,2/9/2007,male,ODI,,South Africa,Pakistan,No Result,0,0,,Pakistan,bat,
282,Cape Town,Newlands,2/11/2007,male,ODI,,South Africa,Pakistan,South Africa,0,10,,South Africa,field,SM Pollock
283,Johannesburg,New Wanderers Stadium,2/14/2007,male,ODI,,South Africa,Pakistan,South Africa,0,9,,Pakistan,bat,SM Pollock
284,Napier,McLean Park,12/28/2006,male,ODI,,New Zealand,Sri Lanka,Sri Lanka,0,7,,New Zealand,bat,ST Jayasuriya
285,Christchurch,Jade Stadium,1/2/2007,male,ODI,,New Zealand,Sri Lanka,New Zealand,0,4,,New Zealand,field,MJ Mason
286,Auckland,Eden Park,1/6/2007,male,ODI,,New Zealand,Sri Lanka,Sri Lanka,189,0,,Sri Lanka,bat,ST Jayasuriya
287,Wellington,Westpac Stadium,2/16/2007,male,ODI,,New Zealand,Australia,New Zealand,0,10,,New Zealand,field,SE Bond
288,Auckland,Eden Park,2/18/2007,male,ODI,,New Zealand,Australia,New Zealand,0,5,,New Zealand,field,LRPL Taylor
289,Hamilton,Seddon Park,2/20/2007,male,ODI,,New Zealand,Australia,New Zealand,0,1,,Australia,bat,ML Hayden
290,Bloemfontein,Goodyear Park,9/15/2006,male,ODI,,South Africa,Zimbabwe,South Africa,0,5,,Zimbabwe,bat,HH Dippenaar
291,Kuala Lumpur,Kinrara Academy Oval,9/14/2006,male,ODI,,India,West Indies,West Indies,29,0,,India,bat,SR Tendulkar
292,Kuala Lumpur,Kinrara Academy Oval,9/16/2006,male,ODI,,Australia,India,No Result,0,0,,Australia,bat,
293,Kuala Lumpur,Kinrara Academy Oval,9/18/2006,male,ODI,,Australia,West Indies,West Indies,0,3,,Australia,bat,MEK Hussey
294,Kuala Lumpur,Kinrara Academy Oval,9/20/2006,male,ODI,,India,West Indies,India,16,0,,India,bat,Harbhajan Singh
295,Kuala Lumpur,Kinrara Academy Oval,9/22/2006,male,ODI,,Australia,India,Australia,18,0,,Australia,bat,B Lee
296,Kuala Lumpur,Kinrara Academy Oval,9/24/2006,male,ODI,,Australia,West Indies,Australia,127,0,,Australia,bat,B Lee
297,Colombo,Sinhalese Sports Club Ground,8/18/2006,male,ODI,,Sri Lanka,India,No Result,0,0,,India,bat,
298,Potchefstroom,Sedgars Park,9/20/2006,male,ODI,,South Africa,Zimbabwe,South Africa,171,0,,South Africa,bat,MV Boucher
299,Faisalabad,Iqbal Stadium,12/7/2006,male,ODI,,Pakistan,West Indies,Pakistan,0,2,,Pakistan,field,Inzamam-ul-Haq
300,Lahore,Gaddafi Stadium,12/10/2006,male,ODI,,Pakistan,West Indies,Pakistan,0,7,,Pakistan,field,Naved-ul-Hasan
301,,Multan Cricket Stadium,12/13/2006,male,ODI,,Pakistan,West Indies,West Indies,0,7,,Pakistan,bat,MN Samuels
302,Karachi,National Stadium,12/16/2006,male,ODI,,Pakistan,West Indies,Pakistan,0,7,,Pakistan,field,Naved-ul-Hasan
303,London,Lord's,7/1/2007,male,ODI,,England,West Indies,England,79,0,,West Indies,field,FH Edwards
304,Birmingham,Edgbaston,7/4/2007,male,ODI,,England,West Indies,West Indies,61,0,,England,field,S Chanderpaul
305,Nottingham,Trent Bridge,7/7/2007,male,ODI,,England,West Indies,West Indies,93,0,,West Indies,bat,DBL Powell
306,Southampton,The Rose Bowl,8/21/2007,male,ODI,,England,India,England,104,0,,India,field,IR Bell
307,Bristol,County Ground,8/24/2007,male,ODI,,England,India,India,9,0,,India,bat,R Dravid
308,Birmingham,Edgbaston,8/27/2007,male,ODI,,England,India,England,42,0,,India,field,IR Bell
309,Manchester,Old Trafford,8/30/2007,male,ODI,,England,India,England,0,3,,India,bat,SCJ Broad
310,Leeds,Headingley,9/2/2007,male,ODI,,England,India,India,38,0,,England,field,SC Ganguly
311,London,Kennington Oval,9/5/2007,male,ODI,,England,India,India,0,2,,England,bat,SR Tendulkar
312,London,Lord's,9/8/2007,male,ODI,,England,India,England,0,7,,India,bat,KP Pietersen
313,Potchefstroom,Sedgars Park,11/27/2006,male,ODI,,Bermuda,Canada,Canada,0,5,,Canada,field,S Dhaniram
314,Benoni,Willowmoore Park,12/2/2006,male,ODI,,Bermuda,Netherlands,Bermuda,0,6,,Netherlands,bat,S Mukuddem
315,Benoni,Willowmoore Park,11/30/2006,male,ODI,,Bermuda,Canada,Canada,0,3,,Canada,field,GR Codrington
316,Benoni,Willowmoore Park,12/1/2006,male,ODI,,Canada,Netherlands,Netherlands,0,1,,Netherlands,field,WF Stelling
317,East London,Buffalo Park,9/18/2006,male,ODI,,South Africa,Zimbabwe,South Africa,0,6,,Zimbabwe,bat,AJ Hall
318,Bogra,Shaheed Chandu Stadium,12/3/2006,male,ODI,,Bangladesh,Zimbabwe,Bangladesh,0,6,,Bangladesh,field,SC Williams
319,Bogra,Shaheed Chandu Stadium,12/5/2006,male,ODI,,Bangladesh,Zimbabwe,Bangladesh,26,0,,Zimbabwe,field,Abdur Razzak
320,Mirpur,Shere Bangla National Stadium,12/8/2006,male,ODI,,Bangladesh,Zimbabwe,Bangladesh,0,8,,Bangladesh,field,Aftab Ahmed
321,Mirpur,Shere Bangla National Stadium,12/9/2006,male,ODI,,Bangladesh,Zimbabwe,Bangladesh,0,3,,Bangladesh,field,GB Brent
322,Nairobi,Gymkhana Club Ground,2/2/2007,male,ODI,,Bermuda,Canada,Canada,56,0,,Bermuda,field,JM Davison
323,Nairobi,Ruaraka Sports Club Ground,2/4/2007,male,ODI,,Bermuda,Netherlands,Netherlands,0,8,,Netherlands,field,RN ten Doeschate
324,Nairobi,Gymkhana Club Ground,2/4/2007,male,ODI,,Kenya,Scotland,Scotland,77,0,,Scotland,bat,RM Haq
325,Nairobi,Jaffery Sports Club Ground,2/5/2007,male,ODI,,Kenya,Canada,Kenya,158,0,,Kenya,bat,TM Odoyo
326,Chennai,"MA Chidambaram Stadium, Chepauk",1/27/2007,male,ODI,,India,West Indies,West Indies,0,3,,West Indies,field,MN Samuels
327,Vadodara,Indian Petrochemicals Corporation Limited Sports Complex Ground,1/31/2007,male,ODI,,India,West Indies,India,160,0,,West Indies,field,SR Tendulkar
328,Kolkata,Eden Gardens,2/8/2007,male,ODI,,India,Sri Lanka,No Result,0,0,,India,field,
329,Rajkot,Madhavrao Scindia Cricket Ground,2/11/2007,male,ODI,,India,Sri Lanka,Sri Lanka,5,0,,India,field,KC Sangakkara
330,Visakhapatnam,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,2/17/2007,male,ODI,,India,Sri Lanka,India,0,7,,India,field,LPC Silva
331,Margao,"Nehru Stadium, Fatorda",2/14/2007,male,ODI,,India,Sri Lanka,India,0,5,,Sri Lanka,bat,Z Khan
332,Glasgow,Titwood,8/16/2007,male,ODI,,Scotland,India,India,0,7,,India,field,G Gambhir
333,Mirpur,Shere Bangla National Stadium,5/10/2007,male,ODI,,Bangladesh,India,India,0,5,,Bangladesh,bat,MS Dhoni
334,Mirpur,Shere Bangla National Stadium,5/12/2007,male,ODI,,Bangladesh,India,India,46,0,,India,bat,G Gambhir
335,Bangalore,M Chinnaswamy Stadium,6/6/2007,male,ODI,,Africa XI,Asia XI,Asia XI,34,0,,Asia XI,bat,SM Pollock
336,Chennai,"MA Chidambaram Stadium, Chepauk",6/9/2007,male,ODI,,Africa XI,Asia XI,Asia XI,31,0,,Asia XI,bat,CRD Fernando
337,Chennai,"MA Chidambaram Stadium, Chepauk",6/10/2007,male,ODI,,Africa XI,Asia XI,Asia XI,13,0,,Asia XI,bat,MS Dhoni
338,,Rangiri Dambulla International Stadium,10/1/2007,male,ODI,,Sri Lanka,England,Sri Lanka,119,0,,Sri Lanka,bat,MF Maharoof
339,,Rangiri Dambulla International Stadium,10/4/2007,male,ODI,,Sri Lanka,England,England,65,0,,England,bat,OA Shah
340,Colombo,R Premadasa Stadium,10/10/2007,male,ODI,,Sri Lanka,England,England,0,5,,Sri Lanka,bat,AN Cook
341,Colombo,R Premadasa Stadium,10/13/2007,male,ODI,,Sri Lanka,England,Sri Lanka,107,0,,Sri Lanka,bat,CRD Fernando
342,,Adelaide Oval,12/14/2007,male,ODI,,Australia,New Zealand,Australia,0,7,,New Zealand,bat,RT Ponting
343,,Sydney Cricket Ground,12/16/2007,male,ODI,,Australia,New Zealand,No Result,0,0,,New Zealand,bat,
344,Hobart,Bellerive Oval,12/20/2007,male,ODI,,Australia,New Zealand,Australia,114,0,,New Zealand,field,RT Ponting
345,Brisbane,"Brisbane Cricket Ground, Woolloongabba",2/3/2008,male,ODI,,Australia,India,No Result,0,0,,India,bat,
346,Brisbane,"Brisbane Cricket Ground, Woolloongabba",2/5/2008,male,ODI,,India,Sri Lanka,No Result,0,0,,India,bat,
347,,Sydney Cricket Ground,2/8/2008,male,ODI,,Australia,Sri Lanka,Australia,128,0,,Australia,bat,NW Bracken
348,,Melbourne Cricket Ground,2/10/2008,male,ODI,,Australia,India,India,0,5,,Australia,bat,I Sharma
349,Perth,Western Australia Cricket Association Ground,2/15/2008,male,ODI,,Australia,Sri Lanka,Australia,63,0,,Australia,bat,AC Gilchrist
350,,Adelaide Oval,2/17/2008,male,ODI,,Australia,India,Australia,50,0,,Australia,bat,MJ Clarke
351,,Adelaide Oval,2/19/2008,male,ODI,,India,Sri Lanka,India,0,2,,Sri Lanka,bat,KC Sangakkara
352,,Melbourne Cricket Ground,2/22/2008,male,ODI,,Australia,Sri Lanka,Australia,24,0,,Sri Lanka,field,MEK Hussey
353,,Sydney Cricket Ground,2/24/2008,male,ODI,,Australia,India,Australia,18,0,,Australia,bat,RT Ponting
354,Hobart,Bellerive Oval,2/26/2008,male,ODI,,India,Sri Lanka,India,0,7,,India,field,P Kumar
355,,Melbourne Cricket Ground,2/29/2008,male,ODI,,Australia,Sri Lanka,Sri Lanka,13,0,,Sri Lanka,bat,AC Gilchrist
356,,Sydney Cricket Ground,3/2/2008,male,ODI,,Australia,India,India,0,6,,Australia,bat,SR Tendulkar
357,Brisbane,"Brisbane Cricket Ground, Woolloongabba",3/4/2008,male,ODI,,Australia,India,India,9,0,,India,bat,P Kumar
358,Belfast,"Civil Service Cricket Club, Stormont",6/23/2007,male,ODI,,Ireland,India,India,0,9,,India,field,G Gambhir
359,Belfast,"Civil Service Cricket Club, Stormont",6/24/2007,male,ODI,,Ireland,South Africa,South Africa,42,0,,Ireland,field,AR Cusack
360,Belfast,"Civil Service Cricket Club, Stormont",6/26/2007,male,ODI,,India,South Africa,South Africa,0,4,,South Africa,field,JH Kallis
361,Belfast,"Civil Service Cricket Club, Stormont",6/29/2007,male,ODI,,India,South Africa,India,0,6,,India,field,SR Tendulkar
362,Belfast,"Civil Service Cricket Club, Stormont",7/1/2007,male,ODI,,India,South Africa,India,0,6,,India,field,Yuvraj Singh
363,Colombo,P Saravanamuttu Stadium,7/20/2007,male,ODI,,Sri Lanka,Bangladesh,Sri Lanka,70,0,,Bangladesh,field,CRD Fernando
364,Colombo,R Premadasa Stadium,7/23/2007,male,ODI,,Sri Lanka,Bangladesh,Sri Lanka,0,5,,Sri Lanka,field,ST Jayasuriya
365,Colombo,R Premadasa Stadium,7/25/2007,male,ODI,,Sri Lanka,Bangladesh,Sri Lanka,39,0,,Bangladesh,field,J Mubarak
366,Belfast,"Civil Service Cricket Club, Stormont",7/13/2007,male,ODI,,Netherlands,Scotland,No Result,0,0,,Scotland,bat,
367,Dublin,Clontarf Cricket Club Ground,7/14/2007,male,ODI,,Ireland,West Indies,No Result,0,0,,Ireland,bat,
368,Nairobi,Gymkhana Club Ground,10/18/2007,male,ODI,,Kenya,Canada,Kenya,0,4,,Kenya,field,
369,Nairobi,Gymkhana Club Ground,10/20/2007,male,ODI,,Kenya,Canada,Kenya,0,4,,Canada,bat,
370,Chester-le-Street,Riverside Ground,6/15/2008,male,ODI,,England,New Zealand,England,114,0,,New Zealand,field,KP Pietersen
371,Birmingham,Edgbaston,6/18/2008,male,ODI,,England,New Zealand,No Result,0,0,,New Zealand,field,
372,Bristol,County Ground,6/21/2008,male,ODI,,England,New Zealand,New Zealand,22,0,,England,field,KD Mills
373,London,Kennington Oval,6/25/2008,male,ODI,,England,New Zealand,New Zealand,0,1,,New Zealand,field,SB Styris
374,London,Lord's,6/28/2008,male,ODI,,England,New Zealand,New Zealand,51,0,,England,field,SB Styris
375,Leeds,Headingley,8/22/2008,male,ODI,,England,South Africa,England,20,0,,England,bat,KP Pietersen
376,Nottingham,Trent Bridge,8/26/2008,male,ODI,,England,South Africa,England,0,10,,South Africa,bat,SCJ Broad
377,London,Kennington Oval,8/29/2008,male,ODI,,England,South Africa,England,126,0,,South Africa,field,SR Patel
378,London,Lord's,8/31/2008,male,ODI,,England,South Africa,England,0,7,,England,field,A Flintoff
379,Cardiff,Sophia Gardens,9/3/2008,male,ODI,,England,South Africa,No Result,0,0,,England,field,
380,Bangalore,M Chinnaswamy Stadium,9/29/2007,male,ODI,,India,Australia,No Result,0,0,,Australia,bat,
381,Kochi,Nehru Stadium,10/2/2007,male,ODI,,India,Australia,Australia,84,0,,India,field,BJ Haddin
382,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",10/5/2007,male,ODI,,India,Australia,Australia,47,0,,Australia,bat,A Symonds
383,Chandigarh,Sector 16 Stadium,10/8/2007,male,ODI,,India,Australia,India,8,0,,India,bat,MS Dhoni
384,Vadodara,Reliance Stadium,10/11/2007,male,ODI,,India,Australia,Australia,0,9,,India,bat,MG Johnson
385,Nagpur,Vidarbha Cricket Association Ground,10/14/2007,male,ODI,,India,Australia,Australia,18,0,,Australia,bat,A Symonds
386,Mumbai,Wankhede Stadium,10/17/2007,male,ODI,,India,Australia,India,0,2,,Australia,bat,M Kartik
387,Guwahati,Nehru Stadium,11/5/2007,male,ODI,,India,Pakistan,India,0,5,,Pakistan,bat,MS Dhoni
388,Chandigarh,"Punjab Cricket Association Stadium, Mohali",11/8/2007,male,ODI,,India,Pakistan,Pakistan,0,4,,India,bat,Younis Khan
389,Kanpur,Green Park,11/11/2007,male,ODI,,India,Pakistan,India,46,0,,Pakistan,field,Yuvraj Singh
390,Gwalior,Captain Roop Singh Stadium,11/15/2007,male,ODI,,India,Pakistan,India,0,6,,Pakistan,bat,SR Tendulkar
391,Jaipur,Sawai Mansingh Stadium,11/18/2007,male,ODI,,India,Pakistan,Pakistan,31,0,,India,field,Shoaib Malik
392,Durban,Kingsmead,11/25/2007,male,ODI,,South Africa,New Zealand,South Africa,0,2,,South Africa,field,AB de Villiers
393,Port Elizabeth,St George's Park,11/30/2007,male,ODI,,South Africa,New Zealand,New Zealand,0,7,,South Africa,bat,JM How
394,Cape Town,Newlands,12/2/2007,male,ODI,,South Africa,New Zealand,South Africa,0,5,,New Zealand,bat,HH Gibbs
395,Centurion,SuperSport Park,1/20/2008,male,ODI,,South Africa,West Indies,South Africa,0,6,,South Africa,field,JP Duminy
396,Cape Town,Newlands,1/25/2008,male,ODI,,South Africa,West Indies,South Africa,86,0,,South Africa,bat,SM Pollock
397,Port Elizabeth,St George's Park,1/27/2008,male,ODI,,South Africa,West Indies,South Africa,0,7,,West Indies,bat,JH Kallis
398,Durban,Kingsmead,2/1/2008,male,ODI,,South Africa,West Indies,South Africa,0,5,,West Indies,bat,AB de Villiers
399,Johannesburg,New Wanderers Stadium,2/3/2008,male,ODI,,South Africa,West Indies,South Africa,0,8,,South Africa,field,HH Gibbs
400,Lahore,Gaddafi Stadium,10/18/2007,male,ODI,,Pakistan,South Africa,South Africa,45,0,,South Africa,bat,AB de Villiers
401,Lahore,Gaddafi Stadium,10/20/2007,male,ODI,,Pakistan,South Africa,Pakistan,25,0,,Pakistan,bat,Mohammad Yousuf
402,Faisalabad,Iqbal Stadium,10/23/2007,male,ODI,,Pakistan,South Africa,Pakistan,0,6,,South Africa,bat,Shahid Afridi
403,,Multan Cricket Stadium,10/26/2007,male,ODI,,Pakistan,South Africa,South Africa,0,7,,Pakistan,bat,SM Pollock
404,Lahore,Gaddafi Stadium,10/29/2007,male,ODI,,Pakistan,South Africa,South Africa,14,0,,South Africa,bat,M Ntini
405,Auckland,Eden Park,12/26/2007,male,ODI,,New Zealand,Bangladesh,New Zealand,0,6,,New Zealand,field,JM How
406,Napier,McLean Park,12/28/2007,male,ODI,,New Zealand,Bangladesh,New Zealand,102,0,,New Zealand,bat,PG Fulton
407,,Queenstown Events Centre,12/31/2007,male,ODI,,New Zealand,Bangladesh,New Zealand,0,10,,New Zealand,field,DL Vettori
408,Wellington,Westpac Stadium,2/9/2008,male,ODI,,New Zealand,England,New Zealand,0,6,,England,bat,SB Styris
409,Hamilton,Seddon Park,2/12/2008,male,ODI,,New Zealand,England,New Zealand,0,10,,New Zealand,field,JD Ryder
410,Auckland,Eden Park,2/15/2008,male,ODI,,New Zealand,England,England,0,6,,England,field,PD Collingwood
411,Napier,McLean Park,2/20/2008,male,ODI,,New Zealand,England,No Result,0,0,,New Zealand,field,JM How
412,Christchurch,AMI Stadium,2/23/2008,male,ODI,,New Zealand,England,New Zealand,34,0,,New Zealand,field,BB McCullum
413,Bulawayo,Queens Sports Club,8/22/2007,male,ODI,,Zimbabwe,South Africa,South Africa,0,5,,Zimbabwe,bat,GB Brent
414,,Harare Sports Club,8/25/2007,male,ODI,,Zimbabwe,South Africa,South Africa,0,8,,South Africa,field,HH Gibbs
415,,Harare Sports Club,8/26/2007,male,ODI,,Zimbabwe,South Africa,South Africa,28,0,,South Africa,bat,AB de Villiers
