city,venue,dates,gender,match_type,result,team1,team2,outcome.winner,outcome.runs,outcome.wickets,outcome.method,toss.winner,toss.decision,player_of_match,
126,London,Kennington Oval,6/20/2006,male,ODI,,England,Sri Lanka,Sri Lanka,46,0,,Sri Lanka,bat,ST Jayasuriya
127,Chester-le-Street,Riverside Ground,6/24/2006,male,ODI,,England,Sri Lanka,Sri Lanka,0,8,,England,bat,DPMD Jayawardene
128,Manchester,Old Trafford,6/28/2006,male,ODI,,England,Sri Lanka,Sri Lanka,33,0,,Sri Lanka,bat,DPMD Jayawardene
129,Leeds,Headingley,7/1/2006,male,ODI,,England,Sri Lanka,Sri Lanka,0,8,,England,bat,ST Jayasuriya
130,Brisbane,"Brisbane Cricket Ground, Woolloongabba",1/15/2006,male,ODI,,Australia,South Africa,South Africa,0,5,,Australia,bat,SM Pollock
131,Melbourne,Docklands Stadium,1/20/2006,male,ODI,,Australia,South Africa,Australia,59,0,,Australia,bat,B Lee
132,Melbourne,Docklands Stadium,2/3/2006,male,ODI,,Australia,South Africa,Australia,80,0,,Australia,bat,MEK Hussey
133,,Sydney Cricket Ground,2/5/2006,male,ODI,,Australia,South Africa,Australia,57,0,,Australia,bat,AC Gilchrist
134,,Sydney Cricket Ground,1/22/2006,male,ODI,,Australia,Sri Lanka,Sri Lanka,51,0,,Sri Lanka,bat,ST Jayasuriya
135,,Adelaide Oval,1/26/2006,male,ODI,,Australia,Sri Lanka,Australia,0,5,,Sri Lanka,bat,A Symonds
136,Perth,Western Australia Cricket Association Ground,1/29/2006,male,ODI,,Australia,Sri Lanka,Australia,0,6,,Sri Lanka,bat,AC Gilchrist
137,Brisbane,"Brisbane Cricket Ground, Woolloongabba",1/17/2006,male,ODI,,South Africa,Sri Lanka,Sri Lanka,94,0,,South Africa,field,KC Sangakkara
138,,Adelaide Oval,1/24/2006,male,ODI,,South Africa,Sri Lanka,South Africa,9,0,,South Africa,bat,HH Dippenaar
139,Perth,Western Australia Cricket Association Ground,1/31/2006,male,ODI,,South Africa,Sri Lanka,South Africa,0,5,,Sri Lanka,bat,GC Smith
140,Hobart,Bellerive Oval,2/7/2006,male,ODI,,South Africa,Sri Lanka,Sri Lanka,76,0,,Sri Lanka,bat,HMCM Bandara
141,Christchurch,Jade Stadium,1/3/2006,male,ODI,,New Zealand,Sri Lanka,New Zealand,0,5,,New Zealand,field,WU Tharanga
142,Wellington,Westpac Stadium,1/6/2006,male,ODI,,New Zealand,Sri Lanka,New Zealand,21,0,,New Zealand,bat,JS Patel
143,Peshawar,Arbab Niaz Stadium,2/6/2006,male,ODI,,Pakistan,India,Pakistan,7,0,,Pakistan,field,Salman Butt
144,,Adelaide Oval,2/10/2006,male,ODI,,Australia,Sri Lanka,Sri Lanka,22,0,,Sri Lanka,bat,KC Sangakkara
145,,Rawalpindi Cricket Stadium,2/11/2006,male,ODI,,Pakistan,India,India,0,7,,Pakistan,bat,IK Pathan
146,,Sydney Cricket Ground,2/12/2006,male,ODI,,Australia,Sri Lanka,Australia,167,0,,Australia,bat,A Symonds
147,Lahore,Gaddafi Stadium,2/13/2006,male,ODI,,Pakistan,India,India,0,5,,India,field,MS Dhoni
148,Brisbane,"Brisbane Cricket Ground, Woolloongabba",2/14/2006,male,ODI,,Australia,Sri Lanka,Australia,0,9,,Sri Lanka,bat,AC Gilchrist
149,,Multan Cricket Stadium,2/16/2006,male,ODI,,Pakistan,India,India,0,5,,India,field,RP Singh
150,Wellington,Westpac Stadium,2/18/2006,male,ODI,,New Zealand,West Indies,New Zealand,81,0,,New Zealand,bat,NJ Astle
151,Karachi,National Stadium,2/19/2006,male,ODI,,Pakistan,India,India,0,8,,India,field,Yuvraj Singh
152,Bogra,Shaheed Chandu Stadium,2/20/2006,male,ODI,,Bangladesh,Sri Lanka,Sri Lanka,0,5,,Bangladesh,bat,PDRL Perera
153,Bogra,Shaheed Chandu Stadium,2/22/2006,male,ODI,,Bangladesh,Sri Lanka,Bangladesh,0,4,,Bangladesh,field,Aftab Ahmed
154,,Chittagong Divisional Stadium,2/25/2006,male,ODI,,Bangladesh,Sri Lanka,Sri Lanka,78,0,,Bangladesh,field,KC Sangakkara
155,,Chittagong Divisional Stadium,4/23/2006,male,ODI,,Bangladesh,Australia,Australia,0,4,,Bangladesh,bat,AC Gilchrist
156,Fatullah,Narayanganj Osmani Stadium,4/26/2006,male,ODI,,Bangladesh,Australia,Australia,67,0,,Australia,bat,A Symonds
157,Fatullah,Narayanganj Osmani Stadium,4/28/2006,male,ODI,,Bangladesh,Australia,Australia,0,9,,Bangladesh,bat,MJ Cosgrove
158,,Queenstown Events Centre,2/22/2006,male,ODI,,New Zealand,West Indies,New Zealand,0,3,,New Zealand,field,DL Vettori
